code,id,name
A832,338,ENCEFALITIS EQUINA DEL ESTE
A833,339,ENCEFALITIS DE SAN LUIS
A834,340,ENCEFALITIS AUSTRALIANA
A835,341,ENCEFALITIS DE CALIFORNIA
A836,342,ENFERMEDAD POR VIRUS ROCIO
A838,343,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS
A839,344,"ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACION"
A840,345,ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA]
A841,346,ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS
A848,347,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR GARRAPATAS
A849,348,"ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS, SIN OTRA ESPECIFICACION"
A850,349,ENCEFALITIS ENTEROVIRAL (G05.1*)
A851,350,ENCEFALITIS POR ADENOVIRUS (G05.1*)
A852,351,"ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS, SIN OTRA ESPECIFICACIÓN"
A858,352,OTRAS ENCEFALITIS VIRALES ESPECIFICADAS
A86,353,"ENCEFALITIS VIRAL, NO ESPECIFICADA"
A870,354,MENINGITIS ENTEROVIRAL (G02.0*)
A871,355,MENINGITIS DEBIDA A ADENOVIRUS (G02.0*)
A872,356,CORIOMENINGITIS LINFOCITICA
A878,357,OTRAS MENINGITIS VIRALES
A879,358,"MENINGITIS VIRAL, SIN OTRA ESPECIFICACION"
A880,359,FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON]
A881,360,VERTIGO EPIDEMICO
A888,361,OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL
A89,362,"INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA"
A90,363,FIEBRE DEL DENGUE [DENGUE CLASICO]
A91,364,FIEBRE DEL DENGUE HEMORRAGICO
A920,365,ENFERMEDAD POR VIRUS CHIKUNGUNYA
A921,366,FIEBRE DE O´NYONG-NYONG
A922,367,FIEBRE EQUINA VENEZOLANA
A923,368,FIEBRE DEL OESTE DEL NILO
A924,369,FIEBRE DEL VALLE DEL RIFT
A928,370,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS
A929,371,"FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACION"
A930,372,ENFERMEDAD POR VIRUS DE OROPOUCHE
A931,373,FIEBRE TRANSMITIDA POR FLEBOTOMOS
A932,374,FIEBRE DE COLORADO TRANSMITIDA POR GARRAPATAS
A938,375,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR ANTROPODOS
A94,376,"FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS, NO ESPECIFICADA"
A950,377,FIEBRE AMARILLA SELVATICA
A951,378,FIEBRE AMARILLA URBANA
A959,379,"FIEBRE AMARILLA, NO ESPECIFICADA"
A960,380,FIEBRE HEMORRAGICA DE JUNIN
A961,381,FIEBRE HEMORRAGICA DE MACHUPO
A962,382,FIEBRE DE LASSA
A968,383,OTRAS FIEBRES HEMORRAGICAS POR ARENAVIRUS
A969,384,"FIEBRE HEMORRAGICA POR ARENAVIRUS, SIN OTRA ESPECIFICACION"
A980,385,FIEBRE HEMORRAGICA DE CRIMEA-CONGO
A981,386,FIEBRE HEMORRAGICA DE OMSK
A982,387,ENFERMEDAD DE LA SELVA DE KYASANUR
A983,388,ENFERMEDAD POR EL VIRUS DE MARBURG
A984,389,ENFERMEDAD POR EL VIRUS DE EBOLA
A985,390,FIEBRES HEMORRAGICAS CON SINDROME RENAL
A988,391,OTRAS FIEBRES HEMORRAGICAS VIRALES ESPECIFICADAS
A99,392,"FIEBRE VIRAL HEMORRAGICA, NO ESPECIFICADA"
B000,393,ECZEMA HERPETICO
B001,394,DERMATITIS VESICULAR HERPETICA
B002,395,GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA
B003,396,MENINGITIS HERPETICA (G02.0*)
B004,397,ENCEFALITIS HERPETICA (G05.1*)
B005,398,OCULOPATIA HERPETICA
B007,399,ENFERMEDAD HERPETICA DISEMINADA
B008,400,OTRAS FORMAS DE INFECCIONES HERPETICAS
B009,401,"INFECCION DEBIDA A EL VIRUS DEL HERPES, NO ESPECIFICADA"
B010,402,MENINGITIS DEBIDA A LA VARICELA (G02.0*)
B011,403,ENCEFALITIS DEBIDA A LA VARICELA (G05.1*)
